Temperature / ℃	Temperature Uncertainty / ℃	Red	Uncertainty	Yellow	Uncertainty	Green	Uncertainty	Blue	Uncertainty
0	2	173	1	173	1	172	1.5	170	4
10	1	174	1	172.5	1	171	1.5	169	4
20	1	174	1	173	1	172	1.5	167	4
30	1	174	1	173	1	172	1.5	171	4
40	2	173.5	1	173	1	172.5	1.5	165	4
50	2	174	1	173	1	171	1.5	165	4
60	2	174	1	173.5	1	171	1.5	166	4
70	3	174	1	172	1	171	1.5	169	4
80	3	173.5	1	172.5	1	170.5	1.5	167.5	4
90	3	173	1	173	1	171	1.5	169.5	4
